Pair Name	Domain1	SCOP ID1	Range1	Domain2	SCOP ID2	Range2	SCOP Class	SCOP Fold	SCOP Superfamily	SCOP Family	 SCOP Protein
d1bj5_1_1	1bj5_A1	d1bj5_1	(3-196)	1bj5_A2	d1bj5_2	(197-388)	All alpha proteins	Serum albumin-like	Serum albumin-like	Serum albumin-like	Serum albumin
d1bj5_1_2	1bj5_A2	d1bj5_2	(197-388)	1bj5_A3	d1bj5_3	(389-584)	All alpha proteins	Serum albumin-like	Serum albumin-like	Serum albumin-like	Serum albumin
d1bj5_1_3	1bj5_A1	d1bj5_1	(3-196)	1bj5_A3	d1bj5_3	(389-584)	All alpha proteins	Serum albumin-like	Serum albumin-like	Serum albumin-like	Serum albumin
d1bmlc1	1bml_C1	d1bmlc1	(C12-C148)	1bml_C2	d1bmlc2	(C149-C284)	Alpha and beta proteins (a+b)	beta-Grasp (ubiquitin-like)	Staphylokinase/streptokinase	Staphylokinase/streptokinase	Streptokinase
d1boy_1	1boy_A1	d1boy_1	(A5-A106)	1boy_A2	d1boy_2	(A107-A213)	All beta proteins	Immunoglobulin-like beta-sandwich	Fibronectin type III	Fibronectin type III	Extracellular region of human tissue factor
d1bp1_1	1bp1_A1	d1bp1_1	(A1-A240)	1bp1_A2	d1bp1_2	(A241-A456)	Alpha and beta proteins (a+b)	Aha1/BPI domain-like	Bactericidal permeability-increasing protein, BPI	Bactericidal permeability-increasing protein, BPI	Bactericidal permeability-increasing protein, BPI
d1bwza1	1bwz_A1	d1bwza1	(A1-A144)	1bwz_A2	d1bwza2	(A145-A274)	Alpha and beta proteins (a+b)	Diaminopimelate epimerase-like	Diaminopimelate epimerase-like	Diaminopimelate epimerase	Diaminopimelate epimerase
d1bxra3	1bxr_A3	d1bxra3	(A1-A127)	1bxr_A4	d1bxra4	(A556-A676)	Alpha and beta proteins (a/b)	PreATP-grasp domain	PreATP-grasp domain	BC N-terminal domain-like	Carbamoyl phosphate synthetase (CPS), large subunit PreATP-grasp domains
d1bxra5	1bxr_A5	d1bxra5	(A128-A402)	1bxr_A6	d1bxra6	(A677-A935)	Alpha and beta proteins (a+b)	ATP-grasp	Glutathione synthetase ATP-binding domain-like	BC ATP-binding domain-like	Carbamoyl phosphate synthetase (CPS), large subunit ATP-binding domains
d1c3ga1	1c3g_A1	d1c3ga1	(A180-A261)	1c3g_A2	d1c3ga2	(A266-A340)	All beta proteins	HSP40/DnaJ peptide-binding domain	HSP40/DnaJ peptide-binding domain	HSP40/DnaJ peptide-binding domain	Heat shock protein 40 Sis1
d1c3ma__1	1c3m_A1	d1c3ma_	(A3-A26,A125-A147)	1c3m_A2	d1c3ma_	(A52-A75,A27-A51)	All beta proteins	beta-Prism I	Mannose-binding lectins	Mannose-binding lectins	Heltuba lectin
d1c3ma__2	1c3m_A2	d1c3ma_	(A27-A75)	1c3m_A3	d1c3ma_	(A76-A124)	All beta proteins	beta-Prism I	Mannose-binding lectins	Mannose-binding lectins	Heltuba lectin
d1c3ma__3	1c3m_A1	d1c3ma_	(A3-A26,A125-A147)	1c3m_A3	d1c3ma_	(A104-A124,A76-A103)	All beta proteins	beta-Prism I	Mannose-binding lectins	Mannose-binding lectins	Heltuba lectin
d1c8ua1	1c8u_A1	d1c8ua1	(A2-A115)	1c8u_A2	d1c8ua2	(A116-A286)	Alpha and beta proteins (a+b)	Thioesterase/thiol ester dehydrase-isomerase	Thioesterase/thiol ester dehydrase-isomerase	Thioesterase II (TesB)	Thioesterase II (TesB)
d1c8vb_	1c8v_B1	d1c8vb_	(B83-B194)	1c8v_B2	d1c8vb_	(B195-B389)	Alpha and beta proteins (a/b)	Tryptophan synthase beta subunit-like PLP-dependent enzymes	Tryptophan synthase beta subunit-like PLP-dependent enzymes	Tryptophan synthase beta subunit-like PLP-dependent enzymes	Tryptophan synthase, beta-subunit
d1c9ya1	1c9y_A1	d1c9ya1	(A34-A186)	1c9y_A2	d1c9ya2	(A187-A354)	Alpha and beta proteins (a/b)	ATC-like	Aspartate/ornithine carbamoyltransferase	Aspartate/ornithine carbamoyltransferase	Ornithine transcarbamoylase
d1cdwa1	1cdw_A1	d1cdwa1	(A155-A242)	1cdw_A2	d1cdwa2	(A243-A333)	Alpha and beta proteins (a+b)	TBP-like	TATA-box binding protein-like	TATA-box binding protein (TBP), C-terminal domain	TATA-box binding protein (TBP), C-terminal domain
d1ce8a1	1ce8_A1	d1ce8a1	(A414-A468)	1ce8_A2	d1ce8a1	(A469-A524)	All alpha proteins	Carbamoyl phosphate synthetase, large subunit connection domain	Carbamoyl phosphate synthetase, large subunit connection domain	Carbamoyl phosphate synthetase, large subunit connection domain	Carbamoyl phosphate synthetase, large subunit connection domain
d1ciy_2_1	1ciy_A1	d1ciy_2	(A428-A461,A256-A296)	1ciy_A2	d1ciy_2	(A297-A328,A329-A354)	All beta proteins	beta-Prism I	delta-Endotoxin (insectocide), middle domain	delta-Endotoxin (insectocide), middle domain	delta-Endotoxin (insectocide), middle domain
d1ciy_2_2	1ciy_A2	d1ciy_2	(A297-A354)	1ciy_A3	d1ciy_2	(A355-A427)	All beta proteins	beta-Prism I	delta-Endotoxin (insectocide), middle domain	delta-Endotoxin (insectocide), middle domain	delta-Endotoxin (insectocide), middle domain
d1ciy_2_3	1ciy_A1	d1ciy_2	(A428-A461,A256-A296)	1ciy_A3	d1ciy_2	(A355-A393,A394-A427)	All beta proteins	beta-Prism I	delta-Endotoxin (insectocide), middle domain	delta-Endotoxin (insectocide), middle domain	delta-Endotoxin (insectocide), middle domain
d1cjda1	1cjd_A1	d1cjda1	(A15-A244)	1cjd_A2	d1cjda2	(A245-A383)	All beta proteins	Nucleoplasmin-like/VP (viral coat and capsid proteins)	Group II dsDNA viruses VP	Coat protein p3	Coat protein p3
d1ck7a3	1ck7_A1	d1ck7a3	(A217-A278)	1ck7_A2	d1ck7a4	(A279-A334)	Small proteins	Kringle-like	Kringle-like	Fibronectin type II module	Gelatinase A (MMP-2) type II modules
d1ckv__	1ckv_A1	d1ckv__	(A1-A82)	1ckv_A2	d1ckv__	(A83-A141)	Alpha and beta proteins (a+b)	Monooxygenase (hydroxylase) regulatory protein	Monooxygenase (hydroxylase) regulatory protein	Monooxygenase (hydroxylase) regulatory protein	Soluble methane monooxygenase regulatory protein B
d1cpo_1	1cpo_A1	d1cpo_1	(26-106)	1cpo_A2	d1cpo_2	(129-218)	All alpha proteins	EF Hand-like	Cloroperoxidase	Cloroperoxidase	Cloroperoxidase
d1cy8a__1	1cy8_A1	d1cy8a_	(A189-A214,A474-A514,A515-A538)	1cy8_A2	d1cy8a_	(A380-A403,A281-A327,A365-A379)	Multi-domain proteins (alpha and beta)	Prokaryotic type I DNA topoisomerase	Prokaryotic type I DNA topoisomerase	Prokaryotic type I DNA topoisomerase	DNA topoisomerase I, 67K N-terminal domain
d1cy8a__2	1cy8_A3	d1cy8a_	(A215-A264,A458-A473)	1cy8_A4	d1cy8a_	(A404-A457,A265-A280)	Multi-domain proteins (alpha and beta)	Prokaryotic type I DNA topoisomerase	Prokaryotic type I DNA topoisomerase	Prokaryotic type I DNA topoisomerase	DNA topoisomerase I, 67K N-terminal domain
d1d2oa1	1d2o_A1	d1d2oa1	(A535-A624)	1d2o_A2	d1d2oa2	(A625-A721)	All beta proteins	Prealbumin-like	Cna protein B-type domain (Pfam 05738)	Cna protein B-type domain (Pfam 05738)	B repeat unit of collagen binding surface protein (cna)
d1d4va1	1d4v_A2	d1d4va2	(A105-A144)	1d4v_A3	d1d4va3	(A145-A185)	Small proteins	TNF receptor-like	TNF receptor-like	TNF receptor-like	Death receptor-5 (dr5) fragment
d1d5ya1	1d5y_A1	d1d5ya1	(A3-A56)	1d5y_A2	d1d5ya2	(A57-A121)	All alpha proteins	DNA/RNA-binding 3-helical bundle	Homeodomain-like	AraC type transcriptional activator	Rob transcription factor, N-terminal domain
d1d8ha_	1d8h_A1	d1d8ha_	(A299-A413)	1d8h_A2	d1d8ha_	(A425-A500)	Alpha and beta proteins (a+b)	mRNA triphosphatase CET1	mRNA triphosphatase CET1	mRNA triphosphatase CET1	mRNA triphosphatase CET1
d1ddza1	1ddz_A1	d1ddza1	(A84-A310)	1ddz_A2	d1ddza2	(A338-A564)	Alpha and beta proteins (a/b)	Resolvase-like	beta-carbonic anhydrase, cab	beta-carbonic anhydrase, cab	beta-carbonic anhydrase
d1df9c_	1df9_C1	d1df9c_	(C501-C538)	1df9_C2	d1df9c_	(C539-C572)	Small proteins	Knottins (small inhibitors, toxins, lectins)	Bowman-Birk inhibitor, BBI	Bowman-Birk inhibitor, BBI	Bowman-Birk inhibitor, BBI
d1dfca1	1dfc_A1	d1dfca1	(A1013-A1137)	1dfc_A2	d1dfca2	(A1141-A1259)	All beta proteins	beta-Trefoil	Actin-crosslinking proteins	Fascin	Fascin
d1dgsa1	1dgs_A1	d1dgsa1	(A427-A501)	1dgs_A2	d1dgsa1	(A502-A576)	All alpha proteins	SAM domain-like	RuvA domain 2-like	NAD+-dependent DNA ligase, domain 3	NAD+-dependent DNA ligase, domain 3
d1dkrb1	1dkr_B1	d1dkrb1	(B1-B164)	1dkr_B2	d1dkrb2	(B165-B315)	Alpha and beta proteins (a/b)	PRTase-like	PRTase-like	Phosphoribosylpyrophosphate synthetase	Phosphoribosylpyrophosphate synthetase
d1dlpa1	1dlp_A1	d1dlpa1	(A1-A120)	1dlp_A2	d1dlpa2	(A121-A235)	All beta proteins	beta-Prism II	alpha-D-mannose-specific plant lectins	alpha-D-mannose-specific plant lectins	Fetuin-binding protein Scafet precursor
d1dmr_2	1dmr_A1	d1dmr_2	(A377-A500,A85-A145)	1dmr_A2	d1dmr_2	(A146-A258,A259-A376)	Alpha and beta proteins (a/b)	Formate dehydrogenase/DMSO reductase, domains 1-3	Formate dehydrogenase/DMSO reductase, domains 1-3	Formate dehydrogenase/DMSO reductase, domains 1-3	Dimethylsulfoxide reductase (DMSO reductase)
d1doza_	1doz_A1	d1doza_	(A2-A170)	1doz_A2	d1doza_	(A171-A310)	Alpha and beta proteins (a/b)	Chelatase-like	Chelatase	Ferrochelatase	Ferrochelatase
d1e0ca1	1e0c_A1	d1e0ca1	(A1-A135)	1e0c_A2	d1e0ca2	(A136-A271)	Alpha and beta proteins (a/b)	Rhodanese/Cell cycle control phosphatase	Rhodanese/Cell cycle control phosphatase	Sulfurtransferase (rhodanese)	Sulfurtransferase
d1e3pa3	1e3p_A3	d1e3pa3	(A3-A151)	1e3p_A4	d1e3pa4	(A346-A482)	Alpha and beta proteins (a+b)	Ribosomal protein S5 domain 2-like	Ribosomal protein S5 domain 2-like	Ribonuclease PH domain 1-like	Polynucleotide phosphorylase/guanosine pentaphosphate synthase (PNPase/GPSI), domains 1 and 4
d1e3pa6	1e3p_A6	d1e3pa6	(A152-A262)	1e3p_A7	d1e3pa7	(A483-A578)	Alpha and beta proteins (a+b)	Ribonuclease PH domain 2-like	Ribonuclease PH domain 2-like	Ribonuclease PH domain 2-like	Polynucleotide phosphorylase/guanosine pentaphosphate synthase (PNPase/GPSI), domains 2 and 5
d1e9hb1	1e9h_B1	d1e9hb1	(B175-B309)	1e9h_B2	d1e9hb2	(B310-B432)	All alpha proteins	Cyclin-like	Cyclin-like	Cyclin	Cyclin A
d1eb7a1	1eb7_A1	d1eb7a1	(A27-A168)	1eb7_A2	d1eb7a2	(A181-A304)	All alpha proteins	Cytochrome c	Cytochrome c	Di-heme cytochrome c peroxidase	Di-heme cytochrome c peroxidase
d1efdn_	1efd_N1	d1efdn_	(N32-N159)	1efd_N2	d1efdn_	(N160-N293)	Alpha and beta proteins (a/b)	Chelatase-like	"Helical backbone" metal receptor	Periplasmic ferric siderophore binding protein FhuD	Periplasmic ferric siderophore binding protein FhuD
d1efud4	1efu_B1	d1efub4	(B55-B139)	1efu_B2	d1efub2	(B140-B282)	Alpha and beta proteins (a+b)	Elongation factor Ts (EF-Ts), dimerisation domain	Elongation factor Ts (EF-Ts), dimerisation domain	Elongation factor Ts (EF-Ts), dimerisation domain	Elongation factor Ts (EF-Ts), dimerisation domain
d1ei5a1	1ei5_A1	d1ei5a1	(A336-A418)	1ei5_A2	d1ei5a2	(A419-A520)	All beta proteins	Streptavidin-like	D-aminopeptidase, middle and C-terminal domains	D-aminopeptidase, middle and C-terminal domains	D-aminopeptidase, middle and C-terminal domains
d1emn_1	1emn_A1	d1emn_1	(A2124-A2164)	1emn_A2	d1emn_2	(A2165-A2205)	Small proteins	Knottins (small inhibitors, toxins, lectins)	EGF/Laminin	EGF-type module	Fibrillin-1
d1erza_	1erz_A1	d1erza_	(A1-A162)	1erz_A2	d1erza_	(A163-A274)	Alpha and beta proteins (a+b)	Carbon-nitrogen hydrolase	Carbon-nitrogen hydrolase	Carbamilase	N-carbamoyl-D-aminoacid amidohydrolase
d1exja2	1exj_A1	d1exja2	(A121-A200)	1exj_A2	d1exja2	(A201-A277)	Alpha and beta proteins (a+b)	Probable bacterial effector-binding domain	Probable bacterial effector-binding domain	Multidrug-binding domain of transcription activator BmrR	Multidrug-binding domain of transcription activator BmrR
d1f0ia1	1f0i_A1	d1f0ia1	(A6-A254)	1f0i_A2	d1f0ia2	(A255-A514)	Alpha and beta proteins (a+b)	Phospholipase D/nuclease	Phospholipase D/nuclease	Phospholipase D	Phospholipase D
d1f34b_	1f34_B1	d1f34b_	(B1-B74)	1f34_B2	d1f34b_	(B75-B148)	Alpha and beta proteins (a+b)	Pepsin inhibitor-3	Pepsin inhibitor-3	Pepsin inhibitor-3	Pepsin inhibitor-3
d1f52a2	1f52_A1	d1f52a2	(A102-A257)	1f52_A2	d1f52a2	(A258-A389)	Alpha and beta proteins (a+b)	Glutamine synthetase/guanido kinase	Glutamine synthetase/guanido kinase	Glutamine synthetase catalytic domain	Glutamine synthetase, C-terminal domain
d1f53a_	1f53_A1	d1f53a_	(A1-A47)	1f53_A2	d1f53a_	(A48-A84)	All beta proteins	gamma-Crystallin-like	gamma-Crystallin-like	Killer toxin-like protein SKLP	Killer toxin-like protein SKLP
d1f9za_	1f9z_A1	d1f9za_	(A1-A65)	1f9z_A2	d1f9za_	(A66-A126)	Alpha and beta proteins (a+b)	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	Glyoxalase I (lactoylglutathione lyase)	Glyoxalase I (lactoylglutathione lyase)
d1feca1	1fec_A1	d1feca1	(A1-A186)	1fec_A2	d1feca2	(A187-A357)	Alpha and beta proteins (a/b)	FAD/NAD(P)-binding domain	FAD/NAD(P)-binding domain	FAD/NAD-linked reductases, N-terminal and central domains	Trypanothione reductase
d1fga___1	1fga_A1	d1fga__	(A20-A58)	1fga_A2	d1fga__	(A59-A101)	All beta proteins	beta-Trefoil	Cytokine	Fibroblast growth factors (FGF)	Basic FGF (FGF2)
d1fga___2	1fga_A2	d1fga__	(A59-A101)	1fga_A3	d1fga__	(A102-A143)	All beta proteins	beta-Trefoil	Cytokine	Fibroblast growth factors (FGF)	Basic FGF (FGF2)
d1fga___3	1fga_A1	d1fga__	(A20-A58)	1fga_A3	d1fga__	(A102-A143)	All beta proteins	beta-Trefoil	Cytokine	Fibroblast growth factors (FGF)	Basic FGF (FGF2)
d1fjra_	1fjr_A1	d1fjra_	(A1-A62)	1fjr_A2	d1fjra_	(A121-A188)	All beta proteins	Methuselah ectodomain	Methuselah ectodomain	Methuselah ectodomain	Methuselah ectodomain
d1fo4a5_1	1jro_B1	d1jrob2	(B176-B261)	1jro_B3	d1jrob2	(B461-B612)	Alpha and beta proteins (a+b)	Molybdenum cofactor-binding domain	Molybdenum cofactor-binding domain	Molybdenum cofactor-binding domain	Xanthine dehydrogenase chain B, C-terminal domain
d1fo4a5_2	1jro_B2	d1jrob2	(B262-B380)	1jro_B4	d1jrob2	(B613-B761)	Alpha and beta proteins (a+b)	Molybdenum cofactor-binding domain	Molybdenum cofactor-binding domain	Molybdenum cofactor-binding domain	Xanthine dehydrogenase chain B, C-terminal domain
d1foka1_1	1fok_A1	d1foka1	(A4-A143)	1fok_A2	d1foka2	(A144-A281)	All alpha proteins	DNA/RNA-binding 3-helical bundle	"Winged helix" DNA-binding domain	Restriction endonuclease FokI, N-terminal (recognition) domain	Restriction endonuclease FokI, N-terminal (recognition) domain
d1foka1_2	1fok_A2	d1foka2	(A144-A281)	1fok_A3	d1foka3	(A287-A386)	All alpha proteins	DNA/RNA-binding 3-helical bundle	"Winged helix" DNA-binding domain	Restriction endonuclease FokI, N-terminal (recognition) domain	Restriction endonuclease FokI, N-terminal (recognition) domain
d1foka1_3	1fok_A1	d1foka1	(A4-A143)	1fok_A3	d1foka3	(A287-A386)	All alpha proteins	DNA/RNA-binding 3-helical bundle	"Winged helix" DNA-binding domain	Restriction endonuclease FokI, N-terminal (recognition) domain	Restriction endonuclease FokI, N-terminal (recognition) domain
d1ftra1	1ftr_A1	d1ftra1	(A1-A124)	1ftr_A2	d1ftra2	(A144-A296)	Alpha and beta proteins (a+b)	Ferredoxin-like	Formylmethanofuran:tetrahydromethanopterin formyltransferase	Formylmethanofuran:tetrahydromethanopterin formyltransferase	Formylmethanofuran:tetrahydromethanopterin formyltransferase
d1fwqa_	1hxr_B1	d1hxrb_	(B9-B77,B117-B123)	1hxr_B2	d1hxrb_	(B88-B116,B78-B87)	All beta proteins	Mss4-like	Mss4-like	RabGEF Mss4	RabGEF Mss4
d1fx8a_	1fx8_A1	d1fx8a_	(A6-A136)	1fx8_A2	d1fx8a_	(A137-A259)	Membrane and cell surface proteins and peptides	Aquaporin-like	Aquaporin-like	Aquaporin-like	Glycerol uptake facilitator protein GlpF
d1fyze_	1fyz_E1	d1fyze_	(E3-E79)	1fyz_E2	d1fyze_	(E80-E169)	All alpha proteins	Open three-helical up-and-down bundle	Methane monooxygenase hydrolase, gamma subunit	Methane monooxygenase hydrolase, gamma subunit	Methane monooxygenase hydrolase, gamma subunit
d1g1ba_	1g1b_A1	d1g1ba_	(A1-A99)	1g1b_A2	d1g1ba_	(A100-A164)	Alpha and beta proteins (a+b)	Chorismate lyase	Chorismate lyase	Chorismate lyase	Chorismate lyase
d1g4ma1	1g4m_A1	d1g4ma1	(A5-A175)	1g4m_A2	d1g4ma2	(A176-A357)	All beta proteins	Immunoglobulin-like beta-sandwich	E set domains	Arrestin	Arrestin
d1g61a__1	1g61_A1	d1g61a_	(A2003-A2046)	1g61_A2	d1g61a_	(A2047-A2089)	Alpha and beta proteins (a+b)	Pentein, beta/alpha-propeller	Pentein	Ribosome anti-association factor eIF6 (aIF6)	Ribosome anti-association factor eIF6 (aIF6)
d1g61a__2	1g61_A3	d1g61a_	(A2090-A2136)	1g61_A4	d1g61a_	(A2137-A2180)	Alpha and beta proteins (a+b)	Pentein, beta/alpha-propeller	Pentein	Ribosome anti-association factor eIF6 (aIF6)	Ribosome anti-association factor eIF6 (aIF6)
d1ggua2	1ggu_A1	d1ggua2	(A516-A629)	1ggu_A2	d1ggua3	(A630-A726)	All beta proteins	Immunoglobulin-like beta-sandwich	Transglutaminase, two C-terminal domains	Transglutaminase, two C-terminal domains	Transglutaminase, two C-terminal domains
d1guwa_	1guw_A1	d1guwa_	(A19-A80)	1dz1_A1	d1dz1a_	(A115-A171)	All beta proteins	SH3-like barrel	Chromo domain-like	Chromo domain	Heterochromatin protein 1, HP1
d1h16a_	1h16_A1	d1h16a_	(A164-A425)	1h16_A2	d1h16a_	(A426-A742)	Alpha and beta proteins (a/b)	PFL-like glycyl radical enzymes	PFL-like glycyl radical enzymes	PFL-like	Pyruvate formate-lyase, PFL
d1h5yb_	1h5y_B1	d1h5yb_	(B1-B126)	1h5y_B2	d1h5yb_	(B127-B253)	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	Ribulose-phoshate binding barrel	Histidine biosynthesis enzymes	Cyclase subunit (or domain) of imidazoleglycerolphosphate synthase HisF
d1h6ga1	1h6g_A1	d1h6ga1	(A377-A507)	1h6g_A2	d1h6ga2	(A508-A631)	All alpha proteins	Four-helical up-and-down bundle	alpha-catenin/vinculin	alpha-catenin/vinculin	alpha-catenin
d1h6kc1	1n52_A1	d1n52a1	(A26-A142)	1n52_A3	d1n52a3	(A481-A616)	All alpha proteins	alpha-alpha superhelix	ARM repeat	MIF4G domain-like	CBP80, 80KDa nuclear cap-binding protein
d1h99a1	1h99_A1	d1h99a1	(A54-A168)	1h99_A2	d1h99a2	(A169-A275)	All alpha proteins	PTS-regulatory domain, PRD	PTS-regulatory domain, PRD	PTS-regulatory domain, PRD	Transcriptional antiterminator LicT
d1h9ma1	1h9m_A1	d1h9ma1	(A1-A72)	1h9m_A2	d1h9ma2	(A73-A141)	All beta proteins	OB-fold	MOP-like	BiMOP, duplicated molybdate-binding domain	Cytoplasmic molybdate-binding protein ModG
d1hazb_	1haz_B1	d1hazb_	(B16-B123)	1haz_B2	d1hazb_	(B124-B245)	All beta proteins	Trypsin-like serine proteases	Trypsin-like serine proteases	Eukaryotic proteases	Elastase
d1hg7a_	1hg7_A1	d1hg7a_	(A1000-A1037)	1hg7_A2	d1hg7a_	(A1038-A1065)	All beta proteins	beta-clip	AFP III-like domain (Pfam 01354)	AFP III-like domain (Pfam 01354)	Type III antifreeze protein, AFP III
